model,auc_mean,auc_std,mcc_mean,mcc_std,antibiotic
RandomForest,,,0.6892739184431387,0.0369116774159702,ciprofloxacin
XGBoost,,,0.6561013959125555,0.01960157506308174,ciprofloxacin
LightGBM,,,0.6294325538321586,0.03179920246893918,ciprofloxacin
LogisticRegression,,,0.5632684063597676,0.041270858674929495,ciprofloxacin
NeuralNetwork,,,0.6989587146577023,0.032468310665973193,ciprofloxacin
RandomForest,,,0.5925211810044317,0.04198420772860131,ceftriaxone
XGBoost,,,0.5559365717482422,0.03465286030103424,ceftriaxone
LightGBM,,,0.5103711150288787,0.04380578213532056,ceftriaxone
LogisticRegression,,,0.49335480974513246,0.03449478313501022,ceftriaxone
NeuralNetwork,,,0.6077633001579212,0.05855429882383615,ceftriaxone
RandomForest,,,0.6796063521813844,0.03939644463416969,meropenem
XGBoost,,,0.6729446251305743,0.06026671362069871,meropenem
LightGBM,,,0.6383293120368643,0.027886564140616802,meropenem
LogisticRegression,,,0.5070811518016061,0.027161215663052483,meropenem
NeuralNetwork,,,0.6546222997308639,0.035223788504588634,meropenem
